date,state,district,female,male,deaths
2020-07-01,Himachal Pradesh,Kinnaur,9,8,17
2020-08-01,Himachal Pradesh,Chamba,79,81,160
2020-08-01,Himachal Pradesh,Kangra,342,524,866
2020-08-01,Himachal Pradesh,Lahul & Spiti,4,6,10
2020-08-01,Himachal Pradesh,Kullu,90,119,209
2020-08-01,Himachal Pradesh,Mandi,168,237,405
2020-08-01,Himachal Pradesh,Hamirpur,117,142,259
2020-08-01,Himachal Pradesh,Una,116,181,297
2020-08-01,Himachal Pradesh,Bilaspur,69,96,165
2020-08-01,Himachal Pradesh,Solan,102,154,256
2020-08-01,Himachal Pradesh,Sirmaur,76,108,184
2020-08-01,Himachal Pradesh,Shimla,189,266,455
2020-08-01,Himachal Pradesh,Kinnaur,3,9,12
2020-09-01,Himachal Pradesh,Chamba,64,111,175
2020-09-01,Himachal Pradesh,Kangra,370,534,904
2020-09-01,Himachal Pradesh,Lahul & Spiti,1,5,6
2020-09-01,Himachal Pradesh,Kullu,86,139,225
2020-09-01,Himachal Pradesh,Mandi,189,258,447
2020-09-01,Himachal Pradesh,Hamirpur,99,144,243
2020-09-01,Himachal Pradesh,Una,158,190,348
2020-09-01,Himachal Pradesh,Bilaspur,75,94,169
2020-09-01,Himachal Pradesh,Solan,103,164,267
2020-09-01,Himachal Pradesh,Sirmaur,69,134,203
2020-09-01,Himachal Pradesh,Shimla,205,323,528
2020-09-01,Himachal Pradesh,Kinnaur,5,10,15
2020-10-01,Himachal Pradesh,Chamba,76,108,184
2020-10-01,Himachal Pradesh,Kangra,361,578,939
2020-10-01,Himachal Pradesh,Lahul & Spiti,11,13,24
2020-10-01,Himachal Pradesh,Kullu,93,161,254
2020-10-01,Himachal Pradesh,Mandi,186,289,475
2020-10-01,Himachal Pradesh,Hamirpur,87,184,271
2020-10-01,Himachal Pradesh,Una,134,199,333
2020-10-01,Himachal Pradesh,Bilaspur,80,117,197
2020-10-01,Himachal Pradesh,Solan,124,153,277
2020-10-01,Himachal Pradesh,Sirmaur,73,104,177
2020-10-01,Himachal Pradesh,Shimla,221,297,518
2020-10-01,Himachal Pradesh,Kinnaur,4,12,16
2020-11-01,Himachal Pradesh,Chamba,95,144,239
2020-11-01,Himachal Pradesh,Kangra,494,688,1182
2020-11-01,Himachal Pradesh,Lahul & Spiti,17,22,39
2020-11-01,Himachal Pradesh,Kullu,154,244,398
2020-11-01,Himachal Pradesh,Mandi,251,372,623
2020-11-01,Himachal Pradesh,Hamirpur,137,186,323
2020-11-01,Himachal Pradesh,Una,170,203,373
2020-11-01,Himachal Pradesh,Bilaspur,90,110,200
2020-11-01,Himachal Pradesh,Solan,104,172,276
2020-11-01,Himachal Pradesh,Sirmaur,69,135,204
2020-11-01,Himachal Pradesh,Shimla,278,486,764
2020-11-01,Himachal Pradesh,Kinnaur,9,17,26
2020-12-01,Himachal Pradesh,Chamba,79,143,222
2020-12-01,Himachal Pradesh,Kangra,460,718,1178
2020-12-01,Himachal Pradesh,Lahul & Spiti,11,9,20
2020-12-01,Himachal Pradesh,Kullu,109,181,290
2020-12-01,Himachal Pradesh,Mandi,236,329,565
2020-12-01,Himachal Pradesh,Hamirpur,141,201,342
2020-12-01,Himachal Pradesh,Una,170,227,397
2020-12-01,Himachal Pradesh,Bilaspur,101,123,224
2020-12-01,Himachal Pradesh,Solan,138,200,338
2020-12-01,Himachal Pradesh,Sirmaur,80,116,196
2020-12-01,Himachal Pradesh,Shimla,235,429,664
2020-12-01,Himachal Pradesh,Kinnaur,10,9,19
2021-01-01,Himachal Pradesh,Chamba,81,94,175
2021-01-01,Himachal Pradesh,Kangra,427,586,1013
2021-01-01,Himachal Pradesh,Lahul & Spiti,5,4,9
2021-01-01,Himachal Pradesh,Kullu,113,161,274
2021-01-01,Himachal Pradesh,Mandi,210,255,465
2021-01-01,Himachal Pradesh,Hamirpur,132,178,310
2021-01-01,Himachal Pradesh,Una,174,197,371
2021-01-01,Himachal Pradesh,Bilaspur,99,112,211
2021-01-01,Himachal Pradesh,Solan,120,184,304
2021-01-01,Himachal Pradesh,Sirmaur,76,112,188
2021-01-01,Himachal Pradesh,Shimla,232,307,539
2021-01-01,Himachal Pradesh,Kinnaur,7,12,19
2021-02-01,Himachal Pradesh,Chamba,72,104,176
2021-02-01,Himachal Pradesh,Kangra,325,498,823
2021-02-01,Himachal Pradesh,Lahul & Spiti,9,3,12
2021-02-01,Himachal Pradesh,Kullu,84,121,205
2021-02-01,Himachal Pradesh,Mandi,167,244,411
2021-02-01,Himachal Pradesh,Hamirpur,121,141,262
2021-02-01,Himachal Pradesh,Una,113,170,283
2021-02-01,Himachal Pradesh,Bilaspur,68,100,168
2021-02-01,Himachal Pradesh,Solan,109,158,267
2021-02-01,Himachal Pradesh,Sirmaur,67,100,167
2021-02-01,Himachal Pradesh,Shimla,185,240,425
2021-02-01,Himachal Pradesh,Kinnaur,4,12,16
2021-03-01,Himachal Pradesh,Chamba,64,73,137
2021-03-01,Himachal Pradesh,Kangra,314,459,773
2021-03-01,Himachal Pradesh,Lahul & Spiti,5,5,10
2021-03-01,Himachal Pradesh,Kullu,73,130,203
2021-03-01,Himachal Pradesh,Mandi,173,226,399
2021-03-01,Himachal Pradesh,Hamirpur,92,115,207
2021-03-01,Himachal Pradesh,Una,132,186,318
2021-03-01,Himachal Pradesh,Bilaspur,64,95,159
2021-03-01,Himachal Pradesh,Solan,95,130,225
2021-03-01,Himachal Pradesh,Sirmaur,64,109,173
2021-03-01,Himachal Pradesh,Shimla,156,284,440
2021-03-01,Himachal Pradesh,Kinnaur,7,0,7
2021-04-01,Himachal Pradesh,Chamba,57,83,140
2021-04-01,Himachal Pradesh,Kangra,461,620,1081
2021-04-01,Himachal Pradesh,Lahul & Spiti,6,5,11
2021-04-01,Himachal Pradesh,Kullu,92,119,211
2021-04-01,Himachal Pradesh,Mandi,179,266,445
2021-04-01,Himachal Pradesh,Hamirpur,144,165,309
2021-04-01,Himachal Pradesh,Una,168,196,364
2021-04-01,Himachal Pradesh,Bilaspur,63,90,153
2021-04-01,Himachal Pradesh,Solan,130,191,321
2021-04-01,Himachal Pradesh,Sirmaur,79,118,197
2021-04-01,Himachal Pradesh,Shimla,207,321,528
2021-04-01,Himachal Pradesh,Kinnaur,4,5,9
2021-05-01,Himachal Pradesh,Chamba,100,151,251
2021-05-01,Himachal Pradesh,Kangra,1023,1214,2237
