date,state,district,deaths
2018-09-01,Kerala,Alappuzha,1557
2018-09-01,Kerala,Ernakulam,1903
2018-09-01,Kerala,Idukki,616
2018-09-01,Kerala,Kannur,1722
2018-09-01,Kerala,Kasaragod,656
2018-09-01,Kerala,Kollam,1772
2018-09-01,Kerala,Kottayam,1776
2018-09-01,Kerala,Kozhikode,2343
2018-09-01,Kerala,Malappuram,1941
2018-09-01,Kerala,Palakkad,1642
2018-09-01,Kerala,Pathanamthitta,1158
2018-09-01,Kerala,Thiruvananthapuram,2642
2018-09-01,Kerala,Thrissur,2640
2018-09-01,Kerala,Wayanad,464
2018-10-01,Kerala,Alappuzha,1397
2018-10-01,Kerala,Ernakulam,1718
2018-10-01,Kerala,Idukki,623
2018-10-01,Kerala,Kannur,1517
2018-10-01,Kerala,Kasaragod,601
2018-10-01,Kerala,Kollam,1716
2018-10-01,Kerala,Kottayam,1642
2018-10-01,Kerala,Kozhikode,2108
2018-10-01,Kerala,Malappuram,1771
2018-10-01,Kerala,Palakkad,1519
2018-10-01,Kerala,Pathanamthitta,1020
2018-10-01,Kerala,Thiruvananthapuram,2717
2018-10-01,Kerala,Thrissur,2335
2018-10-01,Kerala,Wayanad,385
2018-11-01,Kerala,Alappuzha,1432
2018-11-01,Kerala,Ernakulam,1701
2018-11-01,Kerala,Idukki,571
2018-11-01,Kerala,Kannur,1499
2018-11-01,Kerala,Kasaragod,569
2018-11-01,Kerala,Kollam,1713
2018-11-01,Kerala,Kottayam,1654
2018-11-01,Kerala,Kozhikode,2113
