date,state,district,female,male,deaths
2018-10-01,Maharashtra,Wardha,260,423,683
2018-10-01,Maharashtra,Nagpur,1260,1908,3168
2018-10-01,Maharashtra,Bhandara,145,204,349
2018-10-01,Maharashtra,Gondiya,35,42,77
2018-10-01,Maharashtra,Gadchiroli,116,192,308
2018-10-01,Maharashtra,Chandrapur,278,391,669
2018-10-01,Maharashtra,Yavatmal,240,368,608
2018-10-01,Maharashtra,Nanded,275,535,810
2018-10-01,Maharashtra,Hingoli,57,93,150
2018-10-01,Maharashtra,Parbhani,149,282,431
2018-10-01,Maharashtra,Jalna,146,337,483
2018-10-01,Maharashtra,Aurangabad,293,514,807
2018-10-01,Maharashtra,Nashik,904,1281,2185
2018-10-01,Maharashtra,Thane,1483,1887,3370
2018-10-01,Maharashtra,Mumbai Suburban,2044,2394,4438
2018-10-01,Maharashtra,Mumbai,1412,2121,3533
2018-10-01,Maharashtra,Raigarh,150,243,393
2018-10-01,Maharashtra,Pune,595,1009,1604
2018-10-01,Maharashtra,Ahmednagar,468,715,1183
2018-10-01,Maharashtra,Beed,154,345,499
2018-10-01,Maharashtra,Latur,279,511,790
2018-10-01,Maharashtra,Osmanabad,109,180,289
2018-10-01,Maharashtra,Solapur,515,752,1267
2018-10-01,Maharashtra,Satara,642,944,1586
2018-10-01,Maharashtra,Ratnagiri,150,187,337
2018-10-01,Maharashtra,Sindhudurg,203,222,425
2018-10-01,Maharashtra,Kolhapur,391,469,860
2018-10-01,Maharashtra,Sangli,162,215,377
2018-10-01,Maharashtra,Palghar,294,331,625
2018-11-01,Maharashtra,Nandurbar,263,413,676
2018-11-01,Maharashtra,Dhule,274,444,718
2018-11-01,Maharashtra,Jalgaon,307,481,788
2018-11-01,Maharashtra,Buldana,154,244,398
2018-11-01,Maharashtra,Akola,323,505,828
2018-11-01,Maharashtra,Washim,71,125,196
2018-11-01,Maharashtra,Amravati,542,986,1528
2018-11-01,Maharashtra,Wardha,219,378,597
2018-11-01,Maharashtra,Nagpur,1132,1794,2926
2018-11-01,Maharashtra,Bhandara,172,230,402
2018-11-01,Maharashtra,Gondiya,42,71,113
2018-11-01,Maharashtra,Gadchiroli,131,154,285
2018-11-01,Maharashtra,Chandrapur,250,388,638
2018-11-01,Maharashtra,Yavatmal,179,338,517
2018-11-01,Maharashtra,Nanded,250,493,743
2018-11-01,Maharashtra,Hingoli,45,82,127
2018-11-01,Maharashtra,Parbhani,144,243,387
2018-11-01,Maharashtra,Jalna,108,282,390
2018-11-01,Maharashtra,Aurangabad,272,537,809
2018-11-01,Maharashtra,Nashik,790,1239,2029
2018-11-01,Maharashtra,Thane,1187,1766,2953
2018-11-01,Maharashtra,Mumbai Suburban,1719,2164,3883
2018-11-01,Maharashtra,Mumbai,1258,1866,3124
2018-11-01,Maharashtra,Raigarh,127,197,324
2018-11-01,Maharashtra,Pune,557,910,1467
2018-11-01,Maharashtra,Ahmednagar,429,713,1142
2018-11-01,Maharashtra,Beed,151,329,480
2018-11-01,Maharashtra,Latur,242,471,713
2018-11-01,Maharashtra,Osmanabad,80,165,245
2018-11-01,Maharashtra,Solapur,445,714,1159
2018-11-01,Maharashtra,Satara,651,872,1523
2018-11-01,Maharashtra,Ratnagiri,133,183,316
2018-11-01,Maharashtra,Sindhudurg,189,224,413
2018-11-01,Maharashtra,Kolhapur,354,483,837
2018-11-01,Maharashtra,Sangli,157,206,363
2018-11-01,Maharashtra,Palghar,253,342,595
2018-12-01,Maharashtra,Nandurbar,278,408,686
2018-12-01,Maharashtra,Dhule,320,468,788
2018-12-01,Maharashtra,Jalgaon,322,514,836
2018-12-01,Maharashtra,Buldana,180,270,450
2018-12-01,Maharashtra,Akola,334,504,838
2018-12-01,Maharashtra,Washim,72,139,211
2018-12-01,Maharashtra,Amravati,610,1093,1703
2018-12-01,Maharashtra,Wardha,238,388,626
2018-12-01,Maharashtra,Nagpur,1227,1929,3156
2018-12-01,Maharashtra,Bhandara,212,277,489
2018-12-01,Maharashtra,Gondiya,88,137,225
2018-12-01,Maharashtra,Gadchiroli,114,219,333
2018-12-01,Maharashtra,Chandrapur,325,449,774
2018-12-01,Maharashtra,Yavatmal,175,350,525
2018-12-01,Maharashtra,Nanded,260,518,778
2018-12-01,Maharashtra,Hingoli,48,86,134
